stop_name,AM_PEAK,EARLY_AM,EVENING,LATE_EVENING,MIDDAY_BASE,MIDDAY_SCHOOL,NIGHT,PM_PEAK,VERY_EARLY_MORNING
Airport,8548,2849,1057,429,5434,2940,57,2291,1715
Aquarium,10018,3474,1413,483,6826,3685,66,3159,1959
Beachmont,4666,1582,428,127,2783,1353,22,936,1051
Bowdoin,0,0,0,0,0,0,0,0,0
Government Center,895,344,64,21,467,227,2,140,187
Maverick,11538,3780,1404,478,7615,3985,64,3150,2149
Orient Heights,6517,2219,599,193,3882,1849,28,1336,1402
Revere Beach,3373,1195,346,102,2140,1025,21,725,803
State Street,4425,1489,676,239,3208,1724,35,1344,949
Suffolk Downs,4888,1705,451,131,2954,1419,23,997,1105
Wonderland,2538,844,245,71,1413,570,20,441,565
Wood Island,7027,2399,663,220,4251,2098,29,1583,1520
