VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
97,262,497,3506,1737,6971,3722,1991,408
160,525,959,6048,3208,11541,6579,3639,765
56,117,287,1818,958,3740,1946,991,180
5,17,62,502,275,1058,332,158,16
64,210,483,2832,1542,5300,3144,2060,423
140,407,712,4291,2278,8423,4504,2405,498
64,145,338,2595,1292,5325,2726,1413,276
38,76,188,1191,589,2796,1262,492,26
154,509,1066,5577,3118,10210,5804,3171,664
61,137,325,2421,1207,5057,2589,1345,262
0,0,0,0,0,0,0,0,0
78,182,413,3205,1571,6481,3394,1768,358
