VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
1,4,31,10,15,4,3,1,0
11,16,264,336,156,586,232,87,7
3,6,31,16,36,23,12,2,0
0,0,1,4,4,4,0,0,0
4,9,49,16,56,38,11,0,0
1,7,54,35,40,24,13,4,0
0,0,1,1,1,2,2,0,0
1,11,67,24,66,27,14,3,0
2,7,39,22,78,34,13,2,0
2,11,60,22,71,33,18,5,0
8,21,210,216,302,612,176,75,13
1,1,28,4,8,3,2,0,0
0,1,8,21,8,26,10,2,0
4,10,33,15,64,28,14,1,0
5,10,29,20,32,42,18,1,0
4,6,48,20,18,20,18,1,0
0,0,2,0,2,2,1,0,0
0,1,8,1,6,2,2,0,0
0,0,3,0,2,1,0,0,0
1,6,49,9,17,15,3,1,0
14,34,141,106,223,249,322,98,7
0,0,13,1,5,2,0,0,0
2,3,25,7,27,9,6,0,0
0,1,6,0,3,0,0,0,0
1,2,14,2,13,7,3,0,0
2,6,41,34,28,45,16,1,0
0,1,13,10,12,7,1,0,0
1,22,94,100,115,137,133,39,4
2,6,51,16,35,13,6,0,0
3,3,62,9,54,9,10,1,0
1,5,59,7,15,17,6,2,0
3,14,76,44,79,132,76,11,2
0,0,3,3,1,2,0,0,0
6,29,167,173,97,114,148,68,8
11,16,148,131,226,208,93,29,4
0,3,22,6,22,10,6,1,0
0,0,0,0,0,0,0,0,0
3,16,45,12,69,31,24,1,0
0,2,11,29,29,18,9,2,0
0,1,7,5,10,8,1,0,0
0,1,22,21,13,43,18,3,0
4,7,38,11,23,23,13,0,0
2,10,34,16,19,17,12,0,0
1,5,51,28,35,63,15,7,1
0,2,23,27,33,34,19,4,0
1,9,28,22,62,11,14,2,0
5,35,139,113,138,241,178,103,20
2,10,70,12,59,27,14,4,0
0,4,29,37,53,85,48,22,2
3,8,32,14,42,37,12,0,0
0,0,4,2,5,2,2,0,0
0,0,4,5,8,3,0,0,0
0,5,60,7,28,16,7,1,0
2,6,29,17,77,31,14,1,0
1,5,43,12,19,30,36,6,1
0,0,1,0,1,0,0,0,0
1,2,58,6,24,6,8,1,0
0,3,28,3,21,6,3,0,0
0,2,18,1,9,4,3,0,0
0,3,27,37,29,38,34,10,1
0,1,8,2,4,3,2,0,0
1,7,15,6,11,13,11,0,0
1,5,18,9,26,3,3,0,0
0,2,17,3,6,2,3,0,0
1,2,17,6,13,7,3,1,0
1,5,15,9,14,17,9,0,0
