VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
771,2708,10753,2608,6912,3177,1426,342,48
354,1400,3630,5252,5224,10260,5288,1298,202
617,2507,8632,5866,7843,10438,4849,1170,171
1098,3173,12376,4060,8966,4845,2308,521,70
673,2686,9525,5959,8666,10292,4584,1087,158
0,0,0,0,0,0,0,0,0
125,380,873,2528,1503,4485,1946,270,29
935,3236,13062,5012,9707,6991,3151,1022,114
145,470,1157,3442,2172,7090,3509,600,80
529,2007,7671,1464,4711,1367,512,47,6
308,1283,3058,4935,4530,9796,5164,1313,208
944,3213,13390,4629,9590,6230,2834,961,109
116,1005,3189,373,1396,425,178,11,1
158,497,1292,4204,2666,8443,4383,906,137
185,698,1702,4228,3029,8998,4733,1007,154
1013,3733,13033,5862,10269,9128,3741,1059,126
136,443,1048,2931,1823,5712,2655,406,48
1093,3183,12413,3437,8489,4235,1898,472,67
529,2073,7433,5745,7191,10710,4962,1218,179
756,2643,10249,2112,6423,2238,990,229,34
