VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
5,17,26,143,121,390,127,17,3
18,90,480,310,356,319,99,38,3
11,55,235,221,159,467,193,63,5
4,23,107,223,164,385,344,68,7
10,90,385,274,303,784,167,84,7
0,69,225,32,132,48,34,8,1
1,50,290,103,134,84,35,7,0
13,53,137,336,210,762,179,59,7
11,50,442,61,201,133,26,13,2
0,1,4,29,19,133,33,3,0
26,59,308,168,390,215,122,29,2
12,49,134,276,202,358,250,83,10
0,0,0,0,0,0,0,0,0
14,101,339,159,241,143,47,12,1
13,83,297,106,175,244,66,18,1
16,63,257,131,363,551,305,55,3
2,43,364,91,154,94,53,7,0
8,33,36,149,181,376,205,23,3
12,80,494,342,211,421,230,42,8
2,5,22,88,82,422,82,10,0
