VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
102,937,4837,779,2555,1979,755,120,8
208,787,3203,7135,4969,16500,8210,2361,328
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
262,879,3292,7553,5232,17482,8888,2510,347
483,2159,15139,4835,10904,7970,4278,1231,142
374,1543,12003,7287,9320,13875,6000,1670,186
216,1500,9636,1535,5471,2949,1494,320,30
404,1511,7976,8310,7673,17815,8526,2360,302
55,189,642,1993,1049,3816,1913,561,90
424,2109,14115,3977,9558,6461,3620,963,106
100,320,1038,3506,1927,7950,3854,1077,147
434,1922,12922,6400,9529,12412,5431,1461,177
107,323,819,3356,1817,8091,3357,837,82
383,1414,9426,7804,7901,16240,7387,2182,253
289,1847,12820,2038,7442,3572,2056,481,45
25,83,137,935,332,1885,548,149,1
46,165,336,1614,668,3757,1339,344,21
70,225,870,2725,1491,5007,2723,923,164
50,160,503,1535,798,2866,1340,392,12
284,981,3654,7812,5589,18258,9321,2559,355
104,322,812,2866,1636,6651,2618,636,58
