VERY_EARLY_MORNING,EARLY_AM,AM_PEAK,MIDDAY_SCHOOL,MIDDAY_BASE,PM_PEAK,EVENING,LATE_EVENING,NIGHT
3,56,205,18,62,61,44,3,0
8,22,157,217,260,896,464,123,14
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
10,36,135,396,154,978,255,130,17
12,54,308,233,239,365,100,63,7
19,59,389,276,539,615,319,53,8
7,83,562,73,147,100,33,12,1
8,77,301,292,388,626,281,93,9
3,4,32,86,52,178,86,26,4
18,73,738,228,550,264,83,38,2
3,9,60,74,111,449,184,51,5
10,112,583,307,554,649,143,39,10
3,18,36,129,42,404,158,33,4
16,42,478,194,439,775,333,73,14
15,39,511,61,269,85,47,10,0
0,3,4,32,19,64,15,4,0
2,4,19,53,28,199,47,17,0
3,7,51,159,38,138,119,51,5
1,7,21,70,37,95,41,18,0
12,29,122,208,278,1055,207,102,9
2,10,48,153,51,266,83,23,1
