num_trains,name,t1,t2,t3,t4,t5,t6,t7,t8,t9
20,s_1,10.0,8.0,12.0,8.0,12.0,8.0,12.0,8.0,10.0
20,x_1,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,r_1,0.0,10.0,8.0,12.0,8.0,12.0,8.0,12.0,8.0
40,s_1,10.0,14.0,26.0,14.0,26.0,14.0,26.0,8.0,4.0
40,x_1,4.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,r_1,0.0,10.0,14.0,26.0,14.0,26.0,14.0,26.0,8.0
60,s_1,10.0,16.0,41.0,34.0,46.0,22.0,14.0,5.0,4.0
60,x_1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,r_1,0.0,10.0,16.0,24.0,14.0,38.0,22.0,14.0,5.0
80,s_1,10.0,21.0,55.0,49.0,63.0,35.0,18.0,8.0,7.0
80,x_1,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
80,r_1,0.0,5.0,7.0,23.0,14.0,42.0,25.0,15.0,5.0
